annee,national,rural,urbain,pop_tot,pop_sans_cuisson_propre
2000,0.3,0.0,0.6,5008035.0,4993011.0
2001,0.4,0.1,0.8,5145426.0,5124844.0
2002,0.5,0.1,1.2,5281538.0,5255130.0
2003,0.7,0.1,1.6,5421001.0,5383054.0
2004,0.9,0.2,2.1,5565218.0,5515131.0
2005,1.1,0.2,2.7,5711597.0,5648769.0
2006,1.5,0.3,3.5,5874240.0,5786126.0
2007,1.8,0.3,4.3,6047537.0,5938681.0
2008,2.3,0.4,5.4,6222482.0,6079365.0
2009,2.8,0.4,6.5,6398624.0,6219463.0
2010,3.3,0.5,7.7,6571855.0,6354984.0
2011,3.9,0.6,8.9,6748672.0,6485474.0
2012,4.5,0.6,10.6,6926635.0,6614936.0
2013,5.3,0.7,12.1,7106229.0,6729599.0
2014,6.0,0.7,13.3,7288383.0,6851080.0
2015,6.7,0.7,14.9,7473229.0,6972523.0
2016,7.6,0.8,16.4,7661354.0,7079091.0
2017,8.1,0.8,17.8,7852795.0,7216719.0
2018,9.0,0.8,19.0,8046679.0,7322478.0
2019,9.6,0.9,20.3,8243094.0,7451757.0
2020,10.4,0.8,21.8,8442580.0,7564552.0
2021,11.0,0.9,22.8,8644829.0,7693898.0
2022,11.9,0.9,24.2,8848699.0,7795704.0
2023,,,,9053799.0,
