annee,national,rural,urbain,pop_rurale,pop_urbaine,pop_tot,ecart_urbain_rural,sans_elec_rural,sans_elec_urbain,sans_elec_total
2000,17.0,6.4,38.5,3360041.0,1647994.0,5008035.0,32.1,3144998.0,1013516.0,4158514.0
2001,19.6,5.4,47.9,3429118.0,1716308.0,5145426.0,42.5,3243946.0,894196.0,4138142.0
2002,21.3,6.5,50.2,3495903.0,1785635.0,5281538.0,43.7,3268669.0,889246.0,4157915.0
2003,23.0,7.6,52.6,3563495.0,1857506.0,5421001.0,45.0,3292669.0,880458.0,4173127.0
2004,24.8,8.7,55.0,3632752.0,1932466.0,5565218.0,46.3,3316703.0,869610.0,4186313.0
2005,26.5,9.8,57.4,3701972.0,2009625.0,5711597.0,47.6,3339179.0,856100.0,4195279.0
2006,27.9,7.4,64.9,3780132.0,2094108.0,5874240.0,57.5,3500402.0,735032.0,4235434.0
2007,30.0,11.8,62.2,3863409.0,2184128.0,6047537.0,50.4,3407527.0,825600.0,4233127.0
2008,31.8,12.9,64.7,3945863.0,2276619.0,6222482.0,51.8,3436847.0,803647.0,4240494.0
2009,33.7,13.9,67.2,4027422.0,2371202.0,6398624.0,53.3,3467610.0,777754.0,4245364.0
2010,30.8,9.3,66.5,4105241.0,2466614.0,6571855.0,57.2,3723454.0,826316.0,4549770.0
2011,39.7,16.3,77.9,4182017.0,2566655.0,6748672.0,61.6,3500348.0,567231.0,4067579.0
2012,39.1,15.8,76.3,4256694.0,2669941.0,6926635.0,60.5,3584136.0,632776.0,4216912.0
2013,41.0,17.1,78.1,4330465.0,2775764.0,7106229.0,61.0,3589955.0,607892.0,4197847.0
2014,45.7,21.1,83.2,4403714.0,2884669.0,7288383.0,62.1,3474530.0,484624.0,3959154.0
2015,44.7,19.8,82.0,4476464.0,2996765.0,7473229.0,62.2,3590124.0,539418.0,4129542.0
2016,46.8,21.0,84.4,4548699.0,3112655.0,7661354.0,63.4,3593472.0,485574.0,4079046.0
2017,48.0,19.5,88.8,4620428.0,3232367.0,7852795.0,69.3,3719445.0,362025.0,4081470.0
2018,50.0,26.3,83.1,4691053.0,3355626.0,8046679.0,56.8,3457306.0,567101.0,4024407.0
2019,52.5,23.9,91.6,4760552.0,3482542.0,8243094.0,67.7,3622780.0,292534.0,3915314.0
2020,54.1,24.3,94.0,4829156.0,3613424.0,8442580.0,69.7,3655671.0,216805.0,3872476.0
2021,55.7,24.7,96.3,4896604.0,3748225.0,8644829.0,71.6,3687143.0,138684.0,3825827.0
2022,57.2,25.0,96.5,4962262.0,3886437.0,8848699.0,71.5,3721696.0,136025.0,3857721.0
2023,,,,5025764.0,4028035.0,9053799.0,,,,
