annee,surface_km2,pct_terres
1990,13617.0,25.04
1991,13523.0,24.86
1992,13430.0,24.69
1993,13337.0,24.52
1994,13244.0,24.35
1995,13151.0,24.18
1996,13057.0,24.01
1997,12964.0,23.84
1998,12871.0,23.66
1999,12778.0,23.49
2000,12685.0,23.32
2001,12655.0,23.27
2002,12625.0,23.21
2003,12596.0,23.16
2004,12566.0,23.1
2005,12537.0,23.05
2006,12507.0,23.0
2007,12477.0,22.94
2008,12448.0,22.89
2009,12418.0,22.83
2010,12389.0,22.78
2011,12359.0,22.72
2012,12330.0,22.67
2013,12300.0,22.61
2014,12270.0,22.56
2015,12241.0,22.51
2016,12211.0,22.45
2017,12182.0,22.4
2018,12152.0,22.34
2019,12122.0,22.29
2020,12093.0,22.23
2021,12063.0,22.18
