villes,annee,tmax,tmin,tmoy,lat,lon,region
Atakpamé,2013,32.2,21.8,27.0,7.53,1.13,Plateaux
Atakpamé,2014,32.3,21.9,27.1,7.53,1.13,Plateaux
Atakpamé,2015,32.2,22.0,27.1,7.53,1.13,Plateaux
Atakpamé,2016,32.5,23.1,27.8,7.53,1.13,Plateaux
Atakpamé,2017,32.5,22.5,27.5,7.53,1.13,Plateaux
Atakpamé,2018,31.8,22.5,27.2,7.53,1.13,Plateaux
Atakpamé,2019,32.4,22.8,27.6,7.53,1.13,Plateaux
Dapaong,2013,33.7,22.8,28.2,10.86,0.21,Savanes
Dapaong,2014,34.2,23.0,28.6,10.86,0.21,Savanes
Dapaong,2015,34.5,23.2,28.8,10.86,0.21,Savanes
Dapaong,2016,34.4,23.4,28.9,10.86,0.21,Savanes
Dapaong,2017,34.6,23.0,28.8,10.86,0.21,Savanes
Dapaong,2018,34.3,23.1,28.7,10.86,0.21,Savanes
Dapaong,2019,34.5,23.2,28.8,10.86,0.21,Savanes
Kara,2013,33.9,21.6,27.8,9.55,1.19,Kara
Kara,2014,34.3,22.2,28.2,9.55,1.19,Kara
Kara,2015,34.6,21.8,28.2,9.55,1.19,Kara
Kara,2016,34.2,22.1,28.2,9.55,1.19,Kara
Kara,2017,34.2,21.7,28.0,9.55,1.19,Kara
Kara,2018,34.2,21.5,27.8,9.55,1.19,Kara
Kara,2019,34.3,21.3,27.8,9.55,1.19,Kara
Kouma konda,2013,29.4,20.4,24.9,6.95,0.6,Plateaux
Kouma konda,2014,28.9,20.3,24.6,6.95,0.6,Plateaux
Kouma konda,2015,29.3,20.4,24.9,6.95,0.6,Plateaux
Kouma konda,2016,29.5,20.9,25.2,6.95,0.6,Plateaux
Kouma konda,2017,29.2,21.0,25.1,6.95,0.6,Plateaux
Kouma konda,2018,28.7,20.8,24.7,6.95,0.6,Plateaux
Kouma konda,2019,28.6,21.1,24.8,6.95,0.6,Plateaux
Lomé,2013,32.2,24.6,28.4,6.13,1.22,Maritime
Lomé,2014,32.7,24.4,28.5,6.13,1.22,Maritime
Lomé,2015,32.4,24.7,28.5,6.13,1.22,Maritime
Lomé,2016,32.1,25.2,28.7,6.13,1.22,Maritime
Lomé,2017,32.1,24.9,28.5,6.13,1.22,Maritime
Lomé,2018,32.2,24.6,28.4,6.13,1.22,Maritime
Lomé,2019,32.3,25.1,28.7,6.13,1.22,Maritime
Mango,2013,35.3,22.8,29.1,10.36,0.47,Savanes
Mango,2014,35.3,23.4,29.4,10.36,0.47,Savanes
Mango,2015,35.3,23.3,29.3,10.36,0.47,Savanes
Mango,2016,35.8,23.8,29.8,10.36,0.47,Savanes
Mango,2017,35.4,23.2,29.3,10.36,0.47,Savanes
Mango,2018,35.8,23.6,29.7,10.36,0.47,Savanes
Mango,2019,35.8,23.8,29.8,10.36,0.47,Savanes
Niamtougou,2013,32.3,20.3,26.3,9.77,1.1,Kara
Niamtougou,2014,32.6,20.7,26.6,9.77,1.1,Kara
Niamtougou,2015,32.8,20.9,26.9,9.77,1.1,Kara
Niamtougou,2016,33.0,20.9,27.0,9.77,1.1,Kara
Niamtougou,2017,32.8,20.5,26.7,9.77,1.1,Kara
Niamtougou,2018,32.6,21.2,26.9,9.77,1.1,Kara
Niamtougou,2019,32.9,21.9,27.4,9.77,1.1,Kara
Sokodé,2013,33.3,21.0,27.2,8.98,1.13,Centrale
Sokodé,2014,33.4,21.6,27.5,8.98,1.13,Centrale
Sokodé,2015,33.4,21.7,27.5,8.98,1.13,Centrale
Sokodé,2016,33.2,21.9,27.6,8.98,1.13,Centrale
Sokodé,2017,33.2,21.4,27.3,8.98,1.13,Centrale
Sokodé,2018,33.0,21.6,27.3,8.98,1.13,Centrale
Sokodé,2019,33.2,21.9,27.6,8.98,1.13,Centrale
Sotouboua,2013,33.0,21.5,27.2,8.56,0.98,Centrale
Sotouboua,2014,33.2,21.4,27.3,8.56,0.98,Centrale
Sotouboua,2015,33.2,20.9,27.0,8.56,0.98,Centrale
Sotouboua,2016,34.3,21.5,27.9,8.56,0.98,Centrale
Sotouboua,2017,32.9,21.6,27.2,8.56,0.98,Centrale
Sotouboua,2018,32.6,21.3,27.0,8.56,0.98,Centrale
Sotouboua,2019,32.9,21.5,27.2,8.56,0.98,Centrale
Tabligbo,2013,34.0,23.0,28.5,6.58,1.5,Maritime
Tabligbo,2014,33.4,23.1,28.2,6.58,1.5,Maritime
Tabligbo,2015,34.3,23.1,28.7,6.58,1.5,Maritime
Tabligbo,2016,34.5,23.7,29.1,6.58,1.5,Maritime
Tabligbo,2017,33.8,23.5,28.7,6.58,1.5,Maritime
Tabligbo,2018,33.8,23.5,28.6,6.58,1.5,Maritime
Tabligbo,2019,33.8,23.8,28.8,6.58,1.5,Maritime
